St,A1Var
1.000000000000000056e-01,1.089196379704086155e+02
1.668100537200058742e-01,7.354255119664904328e+01
2.782559402207124277e-01,5.391342075559899882e+01
4.641588833612778631e-01,3.706263043571267701e+01
7.742636826811269968e-01,2.702340697391214164e+01
1.291549665014884107e+00,1.954309920695625635e+01
2.154434690031883370e+00,1.407143218694423048e+01
3.593813663804625858e+00,9.893913757413553611e+00
5.994842503189408589e+00,6.644869080563502450e+00
1.000000000000000000e+01,3.670948469253491275e+00
