St,tau_eta^2(S^2-R^2)
1.000000000000000056e-01,9.480698664371710327e-02
1.668100537200058742e-01,1.015434601100519973e-01
2.782559402207124277e-01,1.189338526541650065e-01
4.641588833612778631e-01,1.210140977392320794e-01
7.742636826811269968e-01,1.239251940485151526e-01
1.291549665014884107e+00,1.050939006769446848e-01
2.154434690031883370e+00,7.693253772433615578e-02
3.593813663804625858e+00,6.564426166789942563e-02
5.994842503189408589e+00,3.103909776960134606e-02
1.000000000000000000e+01,1.947821838632620567e-02
